"created_at","text"
"Tue Jan 31 19:53:21 +0000 2012","Jailbait has scored for notts cunty"
"Tue Jan 31 19:24:04 +0000 2012","@Twiggio69 Red makes her seem as a sense of danger as all the other men e.g. Candy, George think she is jailbait therfore that backs up the"
"Tue Jan 31 19:28:13 +0000 2012","@kevinfoca achei uma foto minha com 16 anos que é mega jailbait -&gt; http://t.co/BOlKPvSF"
"Wed Feb 01 04:10:59 +0000 2012","I swear the thirsty old niggas in my dms I keep telling they asses im 13! Im jailbait!"
"Wed Feb 01 03:52:52 +0000 2012","On Jailbait, Dragons, and Pantyhose http://t.co/ijgV3Z5O"
"Tue Jan 31 22:10:31 +0000 2012","No, you're 12, stop bloody trying to get with loads of guys #JAILBAIT"
"Tue Jan 31 18:00:10 +0000 2012","@robbiemarshall rejected by jailbait?"
"Tue Jan 31 18:37:38 +0000 2012","teen princess: http://t.co/voF7DZp9 #anarchy #jailbait RT @AnarchyJAILBAIT"
"Tue Jan 10 05:14:35 +0000 2012","That's jailbait fool."
"Mon Jan 09 22:20:10 +0000 2012","@SDotBeatZ its my birthday first... no longer jailbait;)xx"
"Mon Jan 16 16:25:05 +0000 2012","Jailbait http://t.co/nygE6GFx"
"Mon Jan 16 11:01:53 +0000 2012","Jailbait: Andrea Robin Kaplan is a clique unto herself. In other words, she has no friends. Her only goal is get... http://t.co/LguU8YtB"
"Mon Jan 16 09:41:34 +0000 2012","jailbait - we own the night http://t.co/r9McHWTY"
"Mon Jan 16 22:09:57 +0000 2012","!!!!!!!!!!RT @PO3TiC_JUSTiiCE: Yo, they seriously need an 'Age' column in these Twitter Profiles.... #JailBait"
"Mon Jan 23 23:53:14 +0000 2012","@weepaulferguson always associate 'jailbait' with the walks home..."
"Mon Jan 23 23:58:46 +0000 2012","JÁ VIU? =&gt; 40 excelentes motivos para adorar jailbaits #1 http://t.co/lA8dY8m3"
"Tue Jan 24 00:40:19 +0000 2012","C'MON LEIA! This is more-than-obvious JAILBAIT! @.@ lyfe in jail for sure! #don'tdoit"
"Tue Jan 24 03:10:38 +0000 2012","@hweelamb Jailbait in the house."
"Tue Jan 24 03:16:36 +0000 2012","""when she's sober, she's my five year old little sister…when she's drunk, she's a jailbait slut"" -Sleepie hahahahaa"
"Mon Jan 23 22:34:02 +0000 2012","Latest: : Jailbait 2004 DvDRiP XviD IPT http://t.co/KqgUFSoL"
"Mon Jan 23 15:44:32 +0000 2012","@sarazarr one cover had super buff seraphim, the other cover had super buff jailbait twins in loincloths."
"Tue Jan 24 01:11:31 +0000 2012","@TimberlySays what is jailbait? I remember a pube incident but not very well lol"
"Mon Jan 23 14:02:31 +0000 2012","RT @AyiaNapa2012: Proper girls go to Ayia Napa..#jailbait go to Zante"
"Mon Jan 23 17:25:05 +0000 2012","@Luuk89 Check ff de nieuwe avicii - jailbait (A-lab Edit)"
"Fri Jan 13 06:21:30 +0000 2012","I liked a @YouTube video http://t.co/ErvRANMe Avicii - Jailbait [A-Lab Radio Edit] [Cover Art Video]"
"Fri Jan 13 06:21:30 +0000 2012","I liked a @YouTube video http://t.co/ErvRANMe Avicii - Jailbait [A-Lab Radio Edit] [Cover Art Video]"
