created_at,text
Wed Jul 31 18:34:18 +0000 2013,If u younger than 17 .. i dont even want to be ya friend #JailBait
Wed Jul 31 18:57:41 +0000 2013,@Bellbhaj @Wobbufffett im not jailbait
Thu Aug 01 04:04:16 +0000 2013,@BearsEtc jailbait!sid ?
Thu Aug 01 04:19:52 +0000 2013,"Woahhh, jailbait these days"
Wed Jul 31 07:04:33 +0000 2013,RT @HeyKeifer: @AbbiMarsh yeah I love you too. My favorite jailbait.
Wed Jul 31 11:53:22 +0000 2013,RT @JocelynnnR: Why do these jailbait ass bitches look so grown tho? How? Why?
Wed Jul 31 11:22:10 +0000 2013,RT @dirtyteens: #AssWednesday #JailBait @Septawangsa @DRTYFUKNBASTARD @Wingsoflovefan @teencum @Sexy_selfshot http://t.co/9fnflssrFu
Wed Jul 31 21:45:57 +0000 2013,FIGHT ME YOU JAILBAIT CUNT - YOUR GFS 13 (@YouTube http://t.co/Z7NHYjmyDd)
Thu Aug 01 00:03:53 +0000 2013,@Pope_Donaghy When people wear they 110's it just screams out 'I'm gonny stab fuck oot ye' jailbait trainers
Wed Jul 31 16:42:37 +0000 2013,Suggestive jailbait condom http://t.co/elwTHILgYi
Tue Jul 09 15:34:04 +0000 2013,@Katp04 it's the other way around for me. I got a jailbait ass
Tue Jul 09 12:52:31 +0000 2013,RT @FriesenJaida947: http://t.co/umljkHnE7J Jailbait Dress #jailbait
Tue Jul 09 12:58:35 +0000 2013,RT @FriesenJaida947: http://t.co/umljkHnE7J Jailbait Dress #jailbait
Wed Jul 10 04:17:42 +0000 2013,"@FlyingCorvette @ButSkywarpIsMe Accidents happen, Mr. Lesillage. They could happen to anyone. Even your little slice of jailbait ~chorizo~"
Tue Jul 09 20:26:02 +0000 2013,"RT @iStay1up: You lil fast hoes are jailbait looking 18 but be 14, 15 to my fellow niggas don't fall for it"
Tue Jul 09 11:50:18 +0000 2013,RT @Jaden_Zieme__V5: #jailbait Jailbait http://t.co/daU3IP7hQ3
Tue Jul 09 11:55:21 +0000 2013,RT @Jaden_Zieme__V5: #jailbait Jailbait http://t.co/daU3IP7hQ3
Wed Jul 10 02:36:08 +0000 2013,@Stefff_ #JailBait
Tue Jul 09 21:19:06 +0000 2013,RT @PartiesGuilty: 4 hotties flash on a boat #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #sexy #Tittytuesday http://t.co…
Tue Jul 09 17:18:14 +0000 2013,RT @TrantowOrrin_Ph: jailbait jungle | Flickr - Photo Sharing! #jailbait http://t.co/CGNKFuRkru
Tue Jul 09 19:45:57 +0000 2013,✿ Webcam Hot Girl Videos http://t.co/prcVh4PyEA | #Webcam #Jailbait
Tue Jul 16 15:06:16 +0000 2013,F*ckin Jailbaits &gt;___&lt;  #WeAreBulletProof http://t.co/7g0G1wT8oM via @youtube
Tue Jul 16 18:36:46 +0000 2013,“@uknightowl1701: She'd make a bad man outta me! http://t.co/AKCySmkFEQ” hmm that's why it's called jailbait
Tue Jul 16 06:46:52 +0000 2013,jailbait really needs to stop
Wed Jul 17 01:38:46 +0000 2013,So basically my theory is that even though I am 20 years old I still attract pedophiles well not pedophiles but men who like jailbait idk
Wed Jul 17 04:08:19 +0000 2013,RT @WagglesUknow: @emily_m_buck Happy birthday!!! ❤️ Our relationship is officially illegal. #JailBait
Tue Jul 16 23:37:35 +0000 2013,"""Olivia_Brooke1 IS THIS REAL LIFE?! http://t.co/FkqgsUHTwF"" // does this mean what i think it means? #jailbait"
Wed Jul 17 02:24:00 +0000 2013,RT @urbandictionary: @JadeBrydonx jailbait: An attractive underaged girl who you'd like to bang. But if you get caught bang... http://t.co/…
Wed Jul 17 00:57:31 +0000 2013,@DaftLimmy troops oan the way tae cause fuckin mayhem in ibiza .. 39 TEAM SCUM #jailbait
Tue Jul 16 19:12:51 +0000 2013,RT @Tomsalton: “@JemSalih: Love box is the jailbait festival... Rather not”your still a jailbait kid!
Tue Jul 16 16:46:40 +0000 2013,Photo: GO AWAY JAILBAIT. http://t.co/ieHi13xL97
Tue Jul 23 06:30:06 +0000 2013,“@TSledge_: When I turned 18 I had to unfollow alot of younger girls #jailbait lol” 😂😂😂😂😂😂😂😂
Wed Jul 24 04:02:51 +0000 2013,Jailbait be tryna catch a nigga up on the TL lol
Tue Jul 23 20:40:15 +0000 2013,There is so much jailbait ass round here. WATCH OUT!
Tue Jul 23 23:18:29 +0000 2013,#jailbait #easylay
Tue Jul 23 23:21:35 +0000 2013,@nylonfan79 yeah defo jailbait lol
Wed Jul 24 02:49:25 +0000 2013,"My cousins friend is so fiiiiiiiiiiine, but she's serious jailbait 😑😑"
Wed Jul 24 02:33:03 +0000 2013,I DONT WANNA BE JAILBAIT
Tue Jul 23 21:21:05 +0000 2013,the royal baby is going to be a major stunna when he's older #jailbait
Tue Jul 23 19:21:37 +0000 2013,Another group of cutie's :RT Jailbait threesome http://t.co/0cpOyTyAtn via @Warder33
Sat Jul 13 05:29:15 +0000 2013,RT @YoungRamenGod: HOW MANY JAILBAITS WILL IT TAKE TO GET ME ON THAT SHOW ON MSNBCCCCCCCCCCCCCCCCCC
Sat Jul 13 05:05:04 +0000 2013,"""@TrillFinesse23: I dont think i know not one person in the c/o 2020."" You better not lol #jailbait"
Fri Jul 12 12:25:19 +0000 2013,"http://t.co/4RoUGvt3MR To a murderer, we're all jailbait."
Sat Jul 13 04:53:16 +0000 2013,Lol #jailbait RT @x_TheQueenB My lips are too pink 😕
Fri Jul 12 08:08:55 +0000 2013,@_Ken_barlow_  oh barlow u havnt  posted in a few days hope u havnt been arrested again. #jailbait
Fri Jul 12 21:44:07 +0000 2013,Zeina Heart Jailbait 6 720P http://t.co/YTlVabLPxD
Fri Jul 12 17:18:49 +0000 2013,RT @DaRealAmberRose: Slimane jailbait 💋 http://t.co/BM5WXME0dW
Thu Jul 25 06:45:41 +0000 2013,"RT @hellabarz: @CourtneyLeaff Im jon the jailbait, love you #fam #thefamily http://t.co/EfX8XUiyN4"
Thu Jul 25 12:22:22 +0000 2013,RT @JamesAGordon: SEEInNG SO MUCH JAILBAIT ON FACEBOOK WITH TONS OF LIKES FOR SHOWING A  BIT OF SKIN WHATS wrONG WITH the WORLD
Fri Jul 26 04:20:49 +0000 2013,RT @somewhatalady: I'm going to need these high school boys to stop being attractive. I feel so dirty. #JailBait
Fri Jul 26 04:03:07 +0000 2013,RT @_ColorMyHeart: Whoever call me jailbait needa chill. I hate being called jailbait.
Fri Jul 26 04:55:00 +0000 2013,RT @DudeAndTheCity: @kayleigh_lucy @halielain @Allie_grosss so much jailbait #TheFamily
Thu Jul 25 07:53:17 +0000 2013,Jailbait (Original Mix) - Avicii http://t.co/4yBnVVxT9C #nowplaying #listenlive
Thu Jul 25 07:00:23 +0000 2013,Falling asleep to this cutie's voice. 😍😘 #jailbait #comfy #dontshutup #sleepy
Thu Jul 25 09:30:35 +0000 2013,"RT @KingDigalang: Hell yea , young ass 🙈 #JailBait"
Thu Jul 25 20:00:59 +0000 2013,16 year old me - Halloween 2000. #ThrowBackThursday #me #genie @dankoni's #jailbait hahaha http://t.co/ymbwxJGk90
Thu Jul 25 08:35:00 +0000 2013,#JailBait #JailBait #JailBait #jailbait
Fri Jul 26 02:18:31 +0000 2013,@kchristine they aren’t looking for jailbait. (I thought the same thing about the nightgown!)
Thu Jul 25 13:31:47 +0000 2013,"“@Wingsoflovefan: ""@xhotteensx: @Wingsoflovefan @dirtyteens better pics here"" haha good work :-)”
#JailBait #TeamDirty"
Sat Jul 06 18:27:46 +0000 2013,"RT @dvdinfatuation: Line from this film: ""Of course it's a dream! And stuffed full of jailbait!"" - http://t.co/Nc8FXDjZuF"
Sat Jul 06 06:30:14 +0000 2013,“@JayesYourDrug: Had everybody thinking I was jailbait Lol” 😂😂😭😆
Sun Jul 07 03:49:55 +0000 2013,Chief Keef the jailbait king  http://t.co/q0K0lWlXMV
Sat Jul 06 21:32:46 +0000 2013,@at_stuttering Jailbait alert.
Sat Jul 06 19:26:55 +0000 2013,@ZachJensen22 #Jailbait #Heaven
Wed Jul 24 20:54:11 +0000 2013,That's some jailbait shit!
Wed Jul 24 11:27:00 +0000 2013,"@jailbaiting Hehe, and good night to you~ Now go sleepies!!"
Thu Jul 25 03:16:54 +0000 2013,"RT @iAMBIGPOPPA0914: “@AllBri_: These extra grown ass niggas be trying to get at me, I'm #jailbait 😂”😂😂😂😂😂😂😂😂😂"
Thu Jul 25 03:06:14 +0000 2013,@enchantingbells rawr get outta here jailbait I'ma go be drunk somewhere else
Wed Jul 24 23:07:08 +0000 2013,"RT @Mahbubur: ""@hmmbutwho: #10factsaboutme when a dude hits on me I tell him I'm underage and basically run as fast as I can""

#jailbait"
Thu Jul 25 02:57:49 +0000 2013,@___itsjaneeboo Anybody Under 18 Is Jailbait
Wed Jul 24 17:22:05 +0000 2013,RT @imimoral: Another group of cutie's :RT Jailbait threesome http://t.co/0cpOyTyAtn via @Warder33
Wed Jul 24 14:08:22 +0000 2013,reaaaal jailbait
Wed Jul 24 13:32:50 +0000 2013,"come on baby jailbait, baby Ddochi is not trying to wack ou or mess you up larh please!"
Sun Jul 28 22:58:43 +0000 2013,JAILBAIT PATRICK IS THE BEST PATRICK DONT ARGUE WITH ME
Sun Jul 28 18:16:04 +0000 2013,RT @jaddeyladdey: shes #JailBait dude!
Sun Jul 28 16:21:33 +0000 2013,I wasn't born to entertain jailbait
Fri Jul 19 06:10:17 +0000 2013,@MeloAlZ96 what's jailbait
Fri Jul 19 12:20:12 +0000 2013,Jailbait (Original Mix) - Avicii http://t.co/4yBnVVxT9C #nowplaying #listenlive
Fri Jul 19 07:29:16 +0000 2013,Half my followers are jailbait
Fri Jul 19 07:55:53 +0000 2013,Photo: darkeingel: source: http://t.co/cbdbDfsFzL more jailbaits http://t.co/Kom0LgXoei http://t.co/WXWFJQapuj
Fri Jul 19 07:55:56 +0000 2013,I was invited to the OC fair by a 13 year old boy.... #jailbait #nogracias http://t.co/4vdbICzgab
Fri Jul 19 20:14:34 +0000 2013,"What a gormless Friday night, mine has resulted crashing a jailbait party for an hour. Yes."
Fri Jul 19 08:15:18 +0000 2013,SXR-RadioBot is playing Avicii - Jailbait (John Course &amp; Mr. Timothy Remix) [Listeners: 0/25] [Song Rating: 0 with 0 vote(s)] [http://sum...
Fri Jul 19 23:23:21 +0000 2013,✿ NEW AMATEUR WEBCAM VIDS UPDATED(or) http://t.co/N1bsofvp7o | #Webcam #Jailbait
Fri Jul 19 21:05:47 +0000 2013,These 20-21 year old men crack me up hitting on 16-17 year old girls over the Internet. Get outttta here. #jailbait
Fri Jul 19 17:26:57 +0000 2013,RT @RemyMartinz: THE FICKING JAILBAIT IN TOTTY YEHSVEJEJEKJ
Tue Jul 23 04:48:05 +0000 2013,RT @MoSoWhite: Happy 18th birthday to my best friend @emurph2 love you  E #jailbait 😜😘👯🎉
Mon Jul 22 21:09:55 +0000 2013,"jailbait — Ahh, I hear this a lot. http://t.co/6XUJaffYLi"
Mon Jul 22 17:47:55 +0000 2013,"Checking out birds on holiday can be a serious ordeal, so many are on the border of legality... #BlurredLines #JailBait"
Mon Jul 22 14:39:00 +0000 2013,#jailbait #hottie #cum #braces RT @Warder33: I like this angle. Looks like she's ready for me to drop a load http://t.co/QbJ8qJ96ws
Tue Jul 30 07:33:30 +0000 2013,RT @The_Peachinator: #JailBait
Tue Jul 30 20:05:33 +0000 2013,"Jailbait queen, had her first baby barely eighteen"
Tue Jul 30 10:15:27 +0000 2013,And what the fuck is jailbait — Jailbait is slang for a minor who is younger than the legal age of consent for s... http://t.co/TYGs1qN7cY
Tue Jul 30 21:23:07 +0000 2013,@Duygs1 jailbaits
Tue Jul 30 19:20:43 +0000 2013,"@DietPotter NEW COMEDY CHARACTER Ryan Lloyd, a debonair vampire on the prowl for some sweet sweet jailbait pussy"
Tue Jul 30 19:35:42 +0000 2013,goes back to the safety of...jailbait. cry.
Mon Jul 01 18:35:17 +0000 2013,Petite little teen in the bathroom #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #RateMyKnockers http://t.co/RS4TAGfXdY
Tue Jul 02 04:37:52 +0000 2013,"""@PartiesGuilty: Young jailbait whore #handbra #jailbait #teen #selfie #mirrormonday  #sexy #Tittytuesday http://t.co/mKTB9Mcahn""oh yes"
Tue Jul 02 04:18:55 +0000 2013,RT @aleciawnplumley: More at my site #selfie #handbra #jailbait #teen http://t.co/95GwxGLQIk - Watch More at:  http://t.co/mDc5MSxUQZ
Mon Jul 01 20:09:11 +0000 2013,RT @PartiesGuilty: Young brunette hottie #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #sexy #RateMyKnockers http://t.co/T…
Mon Jul 01 20:41:32 +0000 2013,@imtexastrill jailbait son
Tue Jul 02 03:42:48 +0000 2013,ai jsuis o que é esse chinezinho de moicano JAILBAIT apenas isso
Mon Jul 01 21:18:21 +0000 2013,Tuna needs jailbait
Mon Jul 01 21:22:21 +0000 2013,"“@iiridelongboard: i can't believe next year i'm turning 17. omg”

Jailbait ass nigga"
Wed Jul 03 22:24:18 +0000 2013,"Getting called ""jailbait"" by a 28 year old ;) haha 👍😉👌"
Wed Jul 03 22:33:28 +0000 2013,@Polanchrist #jailbait
Wed Jul 03 06:45:04 +0000 2013,@olinger_renee AYYE TWITTER WE HAVE SOME HOT JAILBAIT ASS NEVER TOUCHED IF YOU WANT SOME OF DAT JUST SO YALL KNOW
Wed Jul 03 20:48:09 +0000 2013,RT @J4CKMULL: I want to DM people but I'm scared in case they're jailbait
Wed Jul 03 13:50:27 +0000 2013,"Okay. ..that girl my ex cheated on me with was really pretty, even if she's still underage. Lol. #jailbait"
Sun Jul 14 15:09:05 +0000 2013,So much jailbait about not fair
Sun Jul 14 06:34:52 +0000 2013,@Ai_Sara93 no jin is like an ullzzang jimin's the cuter one plus jimin is so sexy like urghh~ jailbait ☹ no I think cuz it's very annoying
Mon Jul 15 04:59:00 +0000 2013,Johnny's is full of senpais and jailbaits lol
Mon Jul 15 04:59:06 +0000 2013,@jailbaiting ;n; throws up
Sun Jul 14 09:36:22 +0000 2013,RT @TweetLock_Katie: #teen #amateur #petite #jailbait http://t.co/QSHZm860h8
Sun Jul 14 20:20:51 +0000 2013,Made out with a 21 year old last night 😍 I'm 16. #JailBait
