created_at,text
Tue Jun 10 04:17:56 +0000 2014,"When you see jailbait, think, couple years its on. Wait until she 18, cause fuck prison my dude."
Mon Jun 09 11:42:34 +0000 2014,RT @JailbaitTwit: Damn :) #teen #jailbait http://t.co/VARVQ0OQ95
Tue Jun 10 00:38:22 +0000 2014,#mcm is this always fresh never frisky hunk of jailbait @maxburk_ http://t.co/2pyr8TwI4F
Mon Jun 16 06:21:08 +0000 2014,"RT @originalnidge: ""@JailbaitTwit: Which one? #teens #jailbait http://t.co/guQX7QHoQ9""all three at the same time."
Tue Jun 17 04:18:28 +0000 2014,"“@DiamondFunari: watched ""jailbait"" on Netflix &amp; i swear it was like porn omfg lmao” omg rft😷😷"
Mon Jun 16 09:52:22 +0000 2014,RT @GTAustiin: “@kaella13: why am I only attracted to guys who are in their twenties?” #jailbait
Mon Jun 16 23:55:15 +0000 2014,Minor at work just told me my skirt is attractively short #jailbait #jailbait #jailbait 🔞
Mon Jun 16 14:31:33 +0000 2014,Full #Jailbait vid with going steady cam. Rehearsal in #london w/ Gareth https://t.co/R3ckE46Kki
Mon Jun 16 16:27:31 +0000 2014,RT @DoctorJulien: #jailbait http://t.co/T21rzDPdcZ
Mon Jun 23 15:00:34 +0000 2014,RT @YngGirlFan3: Rt if you want to fuck this #jailbait slut ;) http://t.co/XiQdcJP8v2
Mon Jun 23 22:56:09 +0000 2014,@feverdapleaser I feel like they are all big. Only the Jenners are small. #jailbait
Tue Jun 24 05:02:34 +0000 2014,tori's jailbait is matt and mine is nash we're going to hell
Tue Jun 24 05:03:43 +0000 2014,RT @JailbaitTwit: #teens #jailbait http://t.co/yYr7U8iW5h
Mon Jun 23 12:08:22 +0000 2014,RT @YngGirlFan3: I think I could have fun with these two little #jailbait girls ;) http://t.co/ASoUeYc8tc
Mon Jun 23 07:46:33 +0000 2014,RT @JakeJroberts13: “@creepingv2dot0: Tanline #jailbait #braces #realgirls #selfie #mirrorshot #selfshot http://t.co/0KfAHSHFKB”
Mon Jun 23 09:11:53 +0000 2014,Handbra orgy #Cleavagethursday #jailbait #bikini #realgirls http://t.co/wsuElMP91t
Tue Jun 24 03:09:43 +0000 2014,im jailbait :-)
Mon Jun 23 10:35:01 +0000 2014,RT @ukgirlsxxx: #MagicMonday #jailbait  @thesexpedition @courtneyyyjanee @P_K_W_180 @WhiteGWednesday @TheyShineBright http://t.co/YU29fT7fwg
Mon Jun 23 08:48:08 +0000 2014,RT @creepingv2dot0: Handbra orgy #Cleavagethursday #jailbait #bikini #realgirls http://t.co/FQhaiTQWk7
Mon Jun 23 21:09:42 +0000 2014,RT @dangerlover5: #jailbait #cute #beautiful I want. http://t.co/d7ngn2OUyJ
Mon Jun 23 17:06:20 +0000 2014,"""@YngGirlFan3: Anyone wanna lend a hand with all this cute #jailbait ;) http://t.co/fgwglE9wzq"""
Mon Jun 23 14:05:05 +0000 2014,RT @ukgirlsxxx: #MagicMonday #jailbait #SchoolGirls #UkSluts  #legsfordays http://t.co/og5MujH8Uq
Mon Jun 23 19:05:41 +0000 2014,“@honeyygee__: @Princess_Tee97 lol I heard you are trying to be jailbait lol” LMFAO😂😂😂😭😭
Thu Jun 12 07:41:48 +0000 2014,"RT @YoungJailbait: Sure, lets do it in the kitchen, why not? #sexy #beautiful #horny #teen #jailbait http://t.co/2EJ0kj34Pu"
Fri Jun 13 03:27:18 +0000 2014,"RT @ICD_F52_7: #handjob in the car by a #jailbait cutie, or is she daddy's little girl? RT @vikki_sax @makusquirm RT/F @SexAmateur00 http:/…"
Thu Jun 12 10:26:48 +0000 2014,RT @YngGirlFan2: Those panties need to come down ;) #jailbait http://t.co/BdgVR2GJp4
Fri Jun 13 02:42:14 +0000 2014,"@kimie2sad you're not really ""jailbait"". You're more potential walking thirst trap"
Fri Jun 13 02:35:53 +0000 2014,"RT @girlgirls19: ""@DoctorJulien: #jailbait http://t.co/rGMS56kvem"""
Thu Jun 12 21:35:33 +0000 2014,RT @YoungJailbait: Waiting for someone to pick her up. #jailbait http://t.co/KX1tZIQ7Nn
Thu Jun 12 17:34:39 +0000 2014,lmfao Go to vote at joan all these girls be doing this shit 👀 👀 👀 ahahaa fuck that #Jailbait
Fri Jun 13 00:46:24 +0000 2014,RT @guwopgaby: im #jailbait
Fri Jun 13 00:39:29 +0000 2014,RT @TalkToJust4You: sexy: #jailbait http://t.co/2ET6daQNs0
Wed Jun 25 20:05:03 +0000 2014,RT @YoungJailbait: Guess who's back. :') #jailbait #teen #nude #sex http://t.co/QlrMuw1Ust
Wed Jun 25 10:38:32 +0000 2014,RT @YoungJailbait: *spank* #jailbait #girl #sexy #nude #ass #young #teen http://t.co/w5nfiAhSKr
Wed Jun 25 08:04:12 +0000 2014,Jailbait
Wed Jun 25 19:53:49 +0000 2014,RT @UncleBiffsCabin: #Jailbait #KansasCuties http://t.co/QkaRaYkjoa
Wed Jun 25 13:28:27 +0000 2014,RT @YngGirlFan3: I'll take all three to go ;) #jailbait http://t.co/FZgCzOCI3T
Wed Jun 25 16:45:07 +0000 2014,RT @crashmi71: #sexy #jailbait YUMMY YOUNG GIRLS!!! http://t.co/RJp8gtoEek
Fri Jun 06 22:53:13 +0000 2014,RT @Leaked_snaps12: “@PartiesGuilty:    #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #sexy #Tittytuesday http://t.co/duAD…
Fri Jun 06 22:08:52 +0000 2014,PLEASE JACOB ❤️❤️❤️I LOVE YOU #jailbait @JacobWhitesides http://t.co/4RvxGMkryT
Fri Jun 06 07:35:14 +0000 2014,#FriskyFriday #jailbait @thesexpedition @DailyIncest @P_K_W_180 @FilthyDirtyBoy @UkRealGirlPics http://t.co/lG8Tq6arI2
Fri Jun 06 07:35:26 +0000 2014,RT @ukgirlsxxx: #FriskyFriday #jailbait @thesexpedition @DailyIncest @P_K_W_180 @FilthyDirtyBoy @UkRealGirlPics http://t.co/lG8Tq6arI2
Sat Jun 07 03:04:45 +0000 2014,@Akpopguy @Lyemi123 sexy jailbait tho.
Fri Jun 06 08:45:37 +0000 2014,Jailbait everywhere tonight lol
Sat Jun 07 00:16:40 +0000 2014,Call me jailbait 😂
Fri Jun 06 19:04:54 +0000 2014,"RT @denmatai190: RT""@crashmi71: #sexy #jailbait YUMMY YOUNG GIRLS!!! http://t.co/jXKEZIXORq"""
Fri Jun 06 13:22:48 +0000 2014,"Bitch no I haven't! Lol ""@Thatregularguy_: Every nigga I know has talked to a female that was jailbait"""
Fri Jun 06 16:11:07 +0000 2014,lol felt hotter as jailbait tbh lol 🔞 (kms)
Tue Jun 24 18:08:59 +0000 2014,KIK: SexyNudeSelfies LADIES PLEASE SUBMIT #jailbaitteen #selfshotteen #jailbait #tits #nudeselfie #pussy #teen http://t.co/78B2lToDV3
Tue Jun 24 06:52:56 +0000 2014,RT @JailbaitTwit: Wowza #teen #jailbait http://t.co/D4fbxsfDbF
Tue Jun 24 06:39:23 +0000 2014,RT @JailbaitTwit: #teens #jailbait #prom http://t.co/myPoMhUVwB
Tue Jun 24 12:25:33 +0000 2014,"RT @ColonelHarpoon: The 'poon are banned from @SUPERNORMALFEST this year, due to Jailbait Jimmy's despicable antics last year #HARPOON #bea…"
Tue Jun 24 07:40:44 +0000 2014,RT @YngGirlFan3: That tight little #jailbait is begging for a big cock to fuck her. RT if you would ;) http://t.co/ChzRCQDkr6
Tue Jun 24 19:53:54 +0000 2014,RT @Zandrita49: Jailbait w huge cleavage #tittytuesday #teen #realgirls #mirrorshot #selfie http://t.co/aTaIiJIpvB
Sat Jun 28 22:24:36 +0000 2014,RT @ukgirlsxxx: #SexySaturday #jailbait @thesexpedition @courtneyyyjanee @P_K_W_180 @selfshots22b @TheyShineBright http://t.co/M0Go4tEd5Y
Sun Jun 29 01:30:41 +0000 2014,"@xo_Tiyana ""jailbait"" 😂😂"
Sat Jun 28 07:59:48 +0000 2014,"RT @girlgirls19: ""@ukgirlsxxx: #AssWednesday #UkSlut #jailbait  @thesexpedition @blondebigirl @69Taylormac @P_K_W_180 @FilthyDirtyBoy http:…"
Sun Jun 29 03:46:47 +0000 2014,@ReasonsImBroke This show is dam good. #more #season3anyone #netflix #jailbait
Sat Jun 28 21:00:58 +0000 2014,RT @ukgirlsxxx: #SexySaturday #UkSluts #jailbait #SchoolGirls #FitAsFuck x http://t.co/jMT8Kq8MuE
Sat Jun 28 21:46:52 +0000 2014,i wonder what the colombian jailbait is like
Sat Jun 28 17:04:04 +0000 2014,RT @jailbaitlover2: #jailbait #teen http://t.co/11B9DEf7u2
Sun Jun 29 00:09:03 +0000 2014,RT @RateMyHardcore: RT if you think she's jailbait! http://t.co/3fMWqVOkgP
Sat Jun 28 19:10:28 +0000 2014,#Sagittarius #screenshotsaturday #solidays2014 #jailbait #selfie #teen #swallows #DigoBoludecesCuando me re joden #DeNocheYo duermo? 🌛
Thu Jun 19 15:22:21 +0000 2014,RT @skullfaceone: #jailbait what a sweet girl http://t.co/I2LvTDZYyL
Thu Jun 19 22:27:00 +0000 2014,RT @JailbaitTwit: Those beautiful #tits. #teen #jailbait http://t.co/mLV2u3SDoi
Fri Jun 20 05:14:08 +0000 2014,JAILBAIT WAS SO LESBIAN AND SAD AND JUST AHDJWKIDKS
Fri Jun 20 01:43:34 +0000 2014,"God you're so cute, why u gotta be jailbait tho 😩"
Thu Jun 19 20:46:59 +0000 2014,#jailbait #tinytits #smallboobs #bikini #beachbody #ass vs #ass http://t.co/zecWWu4eNi
Thu Jun 19 23:19:47 +0000 2014,@Ashley__Hannah #jailbait
Fri Jun 20 02:02:46 +0000 2014,"RT @Thantfu: ""@amyoungteen2000: @JailbaitTwit am I good #jailbait? Hehehe http://t.co/Y6ZzdN8y6P""hell yes lol"
Thu Jun 19 21:38:16 +0000 2014,"RT @eth416: http://t.co/xPrFCNj6lA
Double your pleasure. #jailbait"
Thu Jun 19 17:22:38 +0000 2014,#teen #barelylegal #pussy #jailbait #boobs #porn #nsfw #erotic #nude http://t.co/DyqjYNL7z6 http://t.co/YEI35WlR73
Thu Jun 19 14:40:22 +0000 2014,"RT @iloveteenz: ""@JailbaitTwit: Damn that body #teen #jailbait http://t.co/4qoy0AU8k9""ooofffttt the things i would do tae her ;-);-);-);-)"
