created_at,text
Tue Apr 09 18:16:56 +0000 2013,RT @urbandictionary: @Tae_alamenthe Taemin: Serves as the jailbait for Korean boy-group SHINee. Also is the role of lead dan... http://t ...
Tue Apr 09 11:40:30 +0000 2013,@BrydieHand @erinannie_ I also think it was a dark time for her with nick Jonas #jailbait
Wed Apr 10 03:03:08 +0000 2013,I need to stop convos with these jailbait ass girls on IG.
Tue Apr 09 23:30:15 +0000 2013,These little girls walking around here looking grown ass shit . #JailBait
Tue Apr 09 21:35:01 +0000 2013,"El español tiene infinitas posibilidades de expresión que el inglés no, pero pierde al no tener un sinónimo exacto de 'jailbait' y 'MILF'."
Tue Apr 16 18:38:15 +0000 2013,@FayBeeley @laureneasty89 @99brownk yeh hahaha #jailbait
Tue Apr 16 18:58:40 +0000 2013,"RT @jessbyhurst_: ""@BLouise94: Butt pads?! Are you serious Primark?! http://t.co/VAv4H8Pbfd"" jailbait will wear these to make themselves ..."
Wed Apr 17 03:27:10 +0000 2013,I think it's so funny when I get called jailbait
Wed Apr 17 03:42:06 +0000 2013,My  last day of being jailbait. I'm going to join a chat room and lure some middle aged men to my house. Chris Hansen style!
Tue Apr 16 23:17:19 +0000 2013,@eveoliviabarker fuk off jailbait
Tue Apr 16 21:32:35 +0000 2013,RT @zacwestcott: @ChokeOnAcidCunt no jailbait allowed I'm McDonald's anymore? You're fucked😉
Tue Apr 16 17:19:04 +0000 2013,RT @brewscrews33: #jailbait #anal http://t.co/09MNBFyj4n
Tue Apr 16 14:02:15 +0000 2013,His cutie pie daughter #WillNotLook #Jailbait RT @necolebitchie: Jamie Foxx has the cutest red carpet date these days http://t.co/2xh7mAlT8K
Wed Apr 24 05:02:49 +0000 2013,"Age isn't just a number, it's also a measure of how old you are you jailbait loving Bitch"
Wed Apr 24 03:29:13 +0000 2013,"I remember the days of being called a ""jailbait"" now I'm far too old smh"
Wed Apr 24 02:48:10 +0000 2013,RT @_meloofann: omg this is for two niggas I know 😂😂😂😭 they got jailbait as they girlfriends 😂😂😂😂😭 http://t.co/9W9gX3yhxp
